from,to,timestamp
WRO,LIS,02/01/2022 11:55:00
WRO,FCO,02/01/2022 11:55:00
WAW,LHR,02/01/2022 11:55:00
WAW,BCN,02/01/2022 11:55:00
WAW,ATH,02/01/2022 11:55:00
WRO,PAR,02/01/2022 12:03:32
WAW,MUC,02/01/2022 12:04:28
KRK,MUC,02/01/2022 12:05:17
WRO,WAW,02/01/2022 12:21:37
WRO,WAW,02/01/2022 12:21:48
WRO,LIS,02/01/2022 12:22:55
WAW,LIS,02/01/2022 12:23:07
BER,LIS,02/01/2022 12:23:20
WRO,WRO,02/01/2022 12:25:21
WRO,WRO,02/01/2022 12:33:17
WRO,LON,02/02/2022 23:51:34
WRO,LON,02/03/2022 00:15:44
WRO,ROM,02/03/2022 00:35:52
